University Admission year,Gender,Age,H.S.C passing year,Program,Current Semester,Do you have meritorious scholarship ?,Do you use University transportation?,How many hour do you study daily?,How many times do you seat for study in a day?,What is your preferable learning mode?,Do you use smart phone?,Do you have personal Computer?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,Did you ever got suspension?,Do you attend in teacher consultancy for any kind of academical problems? ,What are the skills do you have ?,How many hour do you spent daily on your skill development?,What is you interested area?,What is your relationship status?,Are you engaged with any co-curriculum activities?,With whom you are living with?,Do you have any health issues?,What was your previous SGPA?,Do you have any physical disabilities?,What is your current CGPA?,How many Credit did you have completed?,What is your monthly family income?,target
2021,Male,23,2018,BCSE,4,Yes,No,8,4-5,Offline,Yes,Yes,2,Intermediate,100%,No,No,No,Programming,2,Software,Single,Yes,Bachelor,No,,No,,,37000BDT,
2022,Male,20,2020,BCSE,2nd,Yes,Yes,1,1,Offline,Yes,Yes,2,Basic,95,No,No,No,Programming,2+,Software,Single,Yes,Family,No,,No,,,35k,
2022,Female,20,2020,BCSE,2nd ,Yes,Yes,3,1,Online,Yes,No,1,Intermediate,80%,No,No,No,"Programming, Graphics design ",2,Software,Single,Yes,Family,No,,No,,,50000,
2022,Female,21,2019,BCSE,2nd,Yes,No,2,1 or 2,Offline,Yes,Yes,3/4hours,Basic,99%,No,No,Yes,Learning Web developping.. Recently started learning ,2,Artificial Intelligence,Single,No,Bachelor,No,,No,,,30000 BDT,
2019,Male,24,16,BCSE,11,No,No,2/3,2,Online,Yes,Yes,5/6,Basic,70%,Yes,No,Yes,Programming,4,Software,Single,No,Bachelor,Yes,,No,,,20000,
2022,Female,20,2020,BCSE,2nd,Yes,Yes,4hours,2mins,Offline,Yes,Yes,3/4hours,Intermediate,100%,No,No,Yes,Programming,1hour,"Software, Hardware, Machine Learning / Deep Learning, Artificial Intelligence, UI/UX",Single,No,Family,No,,No,,,"80,000/-",
2021,Female,22,2019,BCSE,"2nd, summer 2022",Yes,Yes,5-6 hr,2-3 hr,Offline,Yes,Yes,3-4 hr,Advance,98-100%,No,No,Yes,"Programming, Leadership ",2 hr,Software,Single,Yes,Bachelor,No,,No,,,40000,
2022,Male,20,2020,BCSE,2nd,Yes,No,5,5,Offline,Yes,Yes,6,Basic,100%,No,No,Yes,Programming,3,"Machine Learning / Deep Learning, Data Science",Single,No,Bachelor,No,,No,,,20000BDT,
2022,Male,21,2020,BCSE,2nd,No,No,3 h,2 time,Offline,Yes,Yes,2 h,Basic,97%,No,No,Yes,Programming,2 h,Software,Single,Yes,Bachelor,No,,No,,,"10,000",
2022,Male,21,2020,BCSE,2nd,Yes,Yes,3 hours,3 hours,Offline,Yes,Yes,1 hours,Basic,98%,No,No,Yes,Programming,3-5 hours,"Software, Machine Learning / Deep Learning, Artificial Intelligence",Single,No,Bachelor,No,,No,,,10000,
2022,Male,19,2020,BCSE,2nd,Yes,Yes,5,3,Online,Yes,Yes,6,Intermediate,90,No,No,Yes,Programming,1,"Software, Artificial Intelligence, UI/UX, Data Science",Single,Yes,Family,No,,No,,,40000,
2022,Male,19,2020,BCSE,Second ,Yes,Yes,4,2,Online,Yes,Yes,2,Intermediate,90,No,No,Yes,Programming,2,"Software, Hardware, Artificial Intelligence, UI/UX, Data Science",Single,Yes,Family,No,,No,,,40000,
2022,Male,19,2020,BCSE,Summer-2022,Yes,No,4,2,Offline,Yes,Yes,1-2,Basic,95%,No,No,Yes,Programming,3,"Software, Artificial Intelligence",Single,No,Bachelor,No,,No,,,25000,
2022,Male,20,2020,BCSE,Summer 2nd,Yes,,5,2,Offline,Yes,Yes,3,Intermediate,95%,No,No,Yes,Programming,1,"Software, Machine Learning / Deep Learning, Artificial Intelligence",Single,Yes,Family,No,,No,,,20000,
2022,Male,19+,2020,BCSE,Summer 2022,Yes,Yes,1 hour,1,Online,Yes,Yes,15-20 minutes,Intermediate,90%,No,No,No,Programming,1 hour,"Software, Data Science",Single,Yes,Family,No,,No,,,"22,000",
2021,Female,20,2020,BCSE,4th,No,No,2/3,2/3,Offline,Yes,Yes,3,Basic,99%,No,No,No,Programming,1,Software,Single,No,Family,No,3.78,No,3.88,35,200000,
2022,Male,20,2020,BCSE,2nd,Yes,No,7 hours ,2,Offline,Yes,Yes,5 hours ,Basic,90%,No,No,Yes,"Programming, Networking",2,"Software, NETWORKING, Artificial Intelligence",Single,No,Family,Yes,,No,,,39k,
2022,Male,21,2020,BCSE,Second ,Yes,Yes,2 hour,1,Online,Yes,Yes,3,Intermediate,90%,No,No,No,Programming,1,Machine Learning / Deep Learning,Single,No,Family,No,,No,,,30000,
2022,Male,21,2020,BCSE,2nd,Yes,Yes,2h - 3h,One or two times,Offline,Yes,Yes,Almost 2 hour,Intermediate,Above 95%,No,No,No,"Programming, Microsoft office",1 hour,"Software, Artificial Intelligence, Game Development ",Single,Yes,Family,No,4,No,4,11,20000 BDT,
2022,Male,21,2020,BCSE,Summer 2022,Yes,Yes,5 hour,2,Offline,Yes,Yes,1 hour,Intermediate,95%,No,No,Yes,"Programming, Web development skill(Frontend)",2 hour's ,"Software, Data Science",Single,Yes,Family,No,,No,,,30000,
2022,Male,20,2020,BCSE,2nd,Yes,No,3-4,1,Offline,Yes,Yes,2,Intermediate,100%,No,No,No,Programming,1,"Software, Machine Learning / Deep Learning",Single,No,Family,No,3.9,No,3.9,12,60000 BDT,
2022,Male,20,2020,BCSE,2nd,Yes,Yes,2-3 hour,2,Offline,Yes,Yes,1,Basic,100%,No,No,Yes,Programming,2,"Software, NETWORKING",Single,No,Family,No,,No,,,40000 BDT,
2022,Male,22,2020,BCSE,Second ,No,Yes,1 hour,1,Online,Yes,Yes,7 to 8 hour,Basic,80%,No,No,Yes,Networking,2/3 hour,Software,Single,Yes,Family,Yes,,No,,,32000,
2021,Male,20,2020,BCSE,2nd,Yes,No,1 hour,2 times,Offline,Yes,Yes,2 hour,Intermediate,100%,No,No,No,Programming,1,Artificial Intelligence,Single,No,Family,No,,No,,,Around 30k,
2021,Female,20,2020,BCSE,2nd,Yes,Yes,1 hour,2/3 times,Offline,Yes,Yes,1/2 hours,Intermediate,98%,No,No,No,Programming,1 hour,"Software, NETWORKING, Data Science",Single,Yes,Family,No,,No,,,40000BDT,
2022,Male,20,2020,BCSE,2nd,Yes,Yes,4-5,1,Online,Yes,Yes,3-4 hour,Intermediate,80-90%,No,No,Yes,Web development skill(Frontend),1-2 hours,Software,Single,No,Family,No,,No,,,30000 BDT,
2021,Female,20,2020,BCSE,Summer 2022(2nd semester),Yes,Yes,2hour ,One time,Offline,Yes,Yes,4hour,Intermediate,99%,No,No,No,Programming,1 to 2hour,"Software, Hardware",Single,Yes,Family,No,,No,,,40000,
2022,Male,20,2020,BCSE,2nd,Yes,Yes,1-2,1-2,Offline,Yes,Yes,4-5,Intermediate,70-80 percent ,No,No,Yes,Programming,1,"Software, UI/UX",Single,No,Family,No,,No,,,35000,
2021,Male,21,2020,BCSE,4th semester,Yes,Yes,3,2 times,Offline,Yes,Yes,More than 4 hours ,Intermediate,85,No,No,Yes,Web development skill(Frontend),2- 3 Hours,Artificial Intelligence,In a relationship,No,Bachelor,No,,No,,,40000 BDT,
2019,Male,23,2017,BCSE,11,No,Yes,1,Ones ,Offline,Yes,Yes,2hour ,Intermediate,100%,No,No,No,"Programming, Web development skill(Frontend), Cyber security, Networking",2,"Software, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence",Single,Yes,Bachelor,No,,No,,,15000,
2020,Male,21,2019,BCSE,Summer 2022- 8th,Yes,No,3,2,Offline,Yes,Yes,5,Intermediate,95%,No,No,Yes,Programming,1,"Software, NETWORKING, Machine Learning / Deep Learning, Artificial Intelligence, UI/UX, Data Science",Single,No,Bachelor,No,3.84,No,3.8,80,23000,
2020,Male,21,2019,BCSE,8th semester,No,Yes,3/4 hour,Random,Offline,Yes,Yes,less then 2/3 hour ,Advance,95%,No,No,Yes,"Programming, Web development skill(Backend), Web development skill(Frontend)",most of time,"Software, Machine Learning / Deep Learning, Artificial Intelligence, UI/UX",Single,Yes,Bachelor,No,,No,,,i dont know,
2018,Male,24,2016,BCSE,12,Yes,No,2,2,Offline,Yes,Yes,4,Intermediate,70,No,No,Yes,"Programming, Cyber security",2,"Machine Learning / Deep Learning, Artificial Intelligence, Data Science",Single,Yes,Bachelor,No,3.31,No,3.52,132,350000,
2020,Male,22,2019,BCSE,8th semester ,No,No,3 hours,2 times,Online,Yes,Yes,4 hours,Intermediate,100%,No,No,Yes,Other,2 hours,Machine Learning / Deep Learning,Single,No,Bachelor,No,,No,,,50000,
2022,Female,21,2020,BCSE,Summer 2022,Yes,No,3-4 hours,1-2,Online,Yes,Yes,2-3 hour ,Advance,95%,No,No,Yes,Programming,1 hour ,"Software, Hardware, Machine Learning / Deep Learning, Artificial Intelligence, UI/UX",Single,No,Family,No,,No,,,40000,
2022,Male,20,2020,BCSE,2nd semester ,No,No,3 Hours ,2 times ,Offline,Yes,Yes,2 hours,Intermediate,100%,No,No,Yes,"Programming, Software  Development skill, Networking, Graphic design .",5 hours ,Software,In a relationship,No,Bachelor,No,,No,,,35000,
2020,Female,21,2019,BCSE,8th,Yes,Yes,3,2,Offline,Yes,Yes,2,Basic,80,No,No,Yes,Programming,2,Software,Single,No,Family,No,,No,,,35000,
2022,Male,21,2020,BCSE,2nd,No,No,8-9,2,Online,Yes,Yes,1-2,Basic,100,No,No,Yes,"Programming, Web development skill(Frontend)",2-3,programming,Single,Yes,Bachelor,No,,No,,,30000 BDT,
2020,Male,23,2018,BCSE,8,Yes,Yes,2,2,Online,Yes,Yes,1,Intermediate,90,No,No,Yes,"Programming, Web development skill(Backend), Web development skill(Frontend)",1,"Software, Hardware, Machine Learning / Deep Learning, Artificial Intelligence",Single,No,Family,No,,No,,,40000 BDT,
2022,Male,20,2020,BCSE,Second,Yes,Yes,4,1,Offline,Yes,Yes,1.5,Intermediate,95%,No,No,Yes,Programming,1.5,Software,Single,Yes,Family,No,,No,,,35000,
2020,Female,21,2019,BCSE,8th,No,Yes,1-2,1,Online,Yes,Yes,2-3,Intermediate,95%,No,No,No,"Software  Development skill, Html,css",2,"Software, Data Science",Single,No,Family,Yes,,No,,,40000,
2018,Female,24,2017,BCSE,12,No,Yes,2,2,Offline,Yes,Yes,3,Intermediate,80%,Yes,No,Yes,Networking,1,"NETWORKING, Machine Learning / Deep Learning",Married,Yes,Family,No,,No,,,30000,
2020,Male,22,2019,BCSE,8,No,No,3,1,Online,Yes,Yes,1,Intermediate,100,No,No,No,"Programming, Software  Development skill, Mobile Application Development (Android/Flutter)",8,"Software, Machine Learning / Deep Learning, Artificial Intelligence",Single,Yes,Bachelor,No,,No,,,35000,
