Do you have meritorious scholarship ?,How many hour do you study daily?,What is your preferable learning mode?,How many hour do you spent daily in social media?,Status of your English language proficiency,Average attendance on class,Did you ever fall in probation?,What is your relationship status?,What was your previous SGPA?,What is your current CGPA?,target
1,3.0,0,3.5,1,34,1,3,3.24,3.24,0
0,2.5,0,2.0,2,67,1,3,2.3,2.8,0
1,5.0,0,3.0,2,44,0,3,3.52,3.5,1
1,3.0,0,2.0,1,61,0,3,2.73,2.73,0
1,3.0,0,3.0,2,61,1,3,3.47,3.47,2
1,3.0,0,2.0,2,66,1,3,3.73,3.73,2
1,4.0,1,2.0,2,61,0,3,3.73,3.68,2
0,4.0,0,4.0,2,55,0,3,2.04,2.86,0
0,4.5,0,2.5,2,61,0,3,3.75,3.75,3
1,5.0,0,4.0,2,66,0,3,3.72,3.45,2
0,5.0,0,5.0,1,67,1,3,2.66,2.76,0
0,2.0,0,3.551912339475154,0,55,0,2,3.04,2.87,1
1,3.0,1,2.0,0,66,0,3,3.15,3.71,2
0,3.0,0,2.0,2,71,0,3,3.58,3.58,2
0,6.0,0,2.5,2,48,0,3,3.4,3.4,1
1,2.0,0,5.5,1,55,0,3,2.8,2.8,0
0,3.5,0,3.0,2,67,0,3,3.39,3.33,2
1,2.0,0,2.0,2,48,0,3,3.31,2.9,1
0,5.5,1,4.5,2,49,1,3,2.96,3.06,1
1,3.0,0,4.5,1,70,0,3,3.68,3.68,1
0,2.5,1,2.0,0,55,0,0,2.65,2.97,1
0,2.0,0,3.5,2,52,0,3,3.29,3.65,2
0,3.5,1,3.0,2,64,0,3,3.14,3.62,2
0,4.5,0,8.0,2,44,1,3,3.15,3.39,0
1,2.0,1,2.0,2,71,0,3,3.46,3.55,2
1,3.5,0,4.0,2,61,0,3,3.21,3.36,2
0,4.0,1,3.0,2,61,1,3,2.87,2.31,0
0,3.0,0,2.0,1,71,0,3,3.31,3.27,2
0,6.0,0,3.551912339475154,1,44,1,3,2.62,2.64,0
0,7.5,1,2.5,2,66,0,3,4.0,3.97,3
1,3.0,1,2.0,2,61,0,3,3.57,3.57,2
1,2.5,0,2.0,2,66,0,3,3.19,3.41,2
0,6.0,0,6.0,2,49,1,3,2.88,2.88,0
1,3.0,0,6.0,1,55,1,3,2.74,2.74,0
0,5.0,0,3.0,2,71,0,3,3.42,3.32,2
0,5.0,0,3.0,2,67,0,3,3.1,3.08,1
1,3.5,1,2.5,2,34,0,3,3.29,3.29,0
1,3.0,0,3.0,1,71,0,3,3.75,3.75,3
1,5.0,0,2.0,2,71,0,3,3.66,3.8,3
1,2.0,1,3.0,2,55,1,3,2.4,2.41,0
1,4.0,0,3.0,1,44,1,2,2.86,2.86,1
1,2.0,0,2.0,1,67,0,3,4.0,4.0,2
1,2.5,0,2.5,2,44,0,0,3.5,3.63,1
1,2.0,0,2.5,2,66,0,3,3.51,3.51,2
0,3.0,0,2.0,1,61,0,3,3.85,3.85,3
1,3.0,0,5.0,1,55,0,3,4.0,4.0,1
1,3.0,0,2.5,2,61,0,3,3.15,3.65,2
1,3.290201005025126,0,2.0,2,55,0,3,3.22,3.47,2
1,3.0,0,4.0,2,34,0,3,3.52,3.77,0
